product_id,product_name,category,price,cost,supplier_id,description,is_active
1,Wireless Headphones,Electronics,99.99,65.00,101,High-quality wireless headphones with noise cancellation,true
2,Running Shoes,Footwear,129.99,85.00,102,Comfortable running shoes for daily exercise,true
3,Coffee Maker,Appliances,79.99,52.00,103,Automatic drip coffee maker with programmable timer,true
4,Laptop Stand,Electronics,49.99,32.00,101,Adjustable aluminum laptop stand for ergonomic work,true
5,Water Bottle,Lifestyle,24.99,16.00,104,Stainless steel insulated water bottle,true
6,Desk Lamp,Furniture,89.99,58.00,105,LED desk lamp with adjustable brightness,true
7,Yoga Mat,Fitness,39.99,26.00,106,Premium yoga mat with excellent grip,true
8,Phone Case,Electronics,19.99,13.00,101,Protective phone case with shock absorption,true
9,Bluetooth Speaker,Electronics,159.99,104.00,101,Portable Bluetooth speaker with premium sound,true
10,Office Chair,Furniture,299.99,195.00,105,Ergonomic office chair with lumbar support,true
11,Kitchen Knife Set,Kitchenware,149.99,97.50,107,Professional kitchen knife set with storage block,true
12,Fitness Tracker,Electronics,199.99,130.00,108,Advanced fitness tracker with heart rate monitor,false